,name,price
107,"Infinix SMART 7 (Emerald Green, 64 GB)",7299
108,"Infinix HOT 30i (Marigold, 64 GB)",7999
109,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)",7299
110,"POCO C50 (Royal Blue, 32 GB)",5649
111,"MOTOROLA G32 (Mineral Gray, 128 GB)",11999
112,"POCO C51 (Royal Blue, 64 GB)",6999
113,"POCO C51 (Power Black, 64 GB)",6999
114,"POCO C50 (Country Green, 32 GB)",5649
115,"POCO C55 (Cool Blue, 64 GB)",7749
116,"REDMI 10 (Shadow Black, 64 GB)",9499
117,"REDMI A1+ (Light Green, 32 GB)",6599
118,"REDMI A1+ (Light Blue, 32 GB)",6599
119,"POCO C55 (Power Black, 64 GB)",7749
120,"Infinix SMART 7 (Azure Blue, 64 GB)",7299
121,"Infinix SMART 7 (Night Black, 64 GB)",7299
122,"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)",10699
123,"Infinix Smart 7 HD (Green Apple, 64 GB)",6199
124,"Infinix HOT 30i (Glacier Blue, 128 GB)",8999
125,"Infinix HOT 30i (Diamond White, 128 GB)",8999
126,"Infinix HOT 30i (Mirror Black, 128 GB)",8999
127,"Infinix HOT 30i (Marigold, 128 GB)",8999
128,"Infinix HOT 30i (Glacier Blue, 64 GB)",7999
129,"Infinix HOT 30i (Diamond White, 64 GB)",7999
130,"Infinix HOT 30i (Mirror Black, 64 GB)",7999
131,"Infinix SMART 7 (Emerald Green, 64 GB)",7299
132,"Infinix HOT 30i (Marigold, 64 GB)",7999
133,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)",7299
134,"POCO C50 (Royal Blue, 32 GB)",5649
135,"MOTOROLA G32 (Mineral Gray, 128 GB)",11999
136,"POCO C51 (Royal Blue, 64 GB)",6999
137,"POCO C51 (Power Black, 64 GB)",6999
138,"POCO C50 (Country Green, 32 GB)",5649
139,"POCO C55 (Cool Blue, 64 GB)",7749
140,"REDMI 10 (Shadow Black, 64 GB)",9499
141,"REDMI A1+ (Light Green, 32 GB)",6599
142,"REDMI A1+ (Light Blue, 32 GB)",6599
143,"POCO C55 (Power Black, 64 GB)",7749
144,"Infinix SMART 7 (Azure Blue, 64 GB)",7299
145,"Infinix SMART 7 (Night Black, 64 GB)",7299
146,"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)",10699
147,"Infinix Smart 7 HD (Green Apple, 64 GB)",6199
148,"Infinix HOT 30i (Glacier Blue, 128 GB)",8999
149,"Infinix HOT 30i (Diamond White, 128 GB)",8999
150,"Infinix HOT 30i (Mirror Black, 128 GB)",8999
151,"Infinix HOT 30i (Marigold, 128 GB)",8999
152,"Infinix HOT 30i (Glacier Blue, 64 GB)",7999
153,"Infinix HOT 30i (Diamond White, 64 GB)",7999
154,"Infinix HOT 30i (Mirror Black, 64 GB)",7999
155,"Infinix SMART 7 (Emerald Green, 64 GB)",7299
156,"Infinix HOT 30i (Marigold, 64 GB)",7999
157,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)",7299
158,"POCO C50 (Royal Blue, 32 GB)",5649
159,"MOTOROLA G32 (Mineral Gray, 128 GB)",11999
160,"POCO C51 (Royal Blue, 64 GB)",6999
161,"POCO C51 (Power Black, 64 GB)",6999
162,"POCO C50 (Country Green, 32 GB)",5649
163,"POCO C55 (Cool Blue, 64 GB)",7749
164,"REDMI 10 (Shadow Black, 64 GB)",9499
165,"REDMI A1+ (Light Green, 32 GB)",6599
166,"REDMI A1+ (Light Blue, 32 GB)",6599
167,"POCO C55 (Power Black, 64 GB)",7749
